ParticipantID,F0_MANIPULATION,Physical_Dominance_F0,Social_Dominance_F0,Overall_Dominance_F0
9,1,5.25,3.5,4.375
9,2, ,4, 
28,1,2.25,5,3.625
28,2,5.25,3.25,4.25
54,1,7.5,5.75,6.625
54,2,3.25,5,4.125
13,1,7.5,6.75,7.125
13,2,6.75,4.25,5.5
72,1,6.25,5.75,6
72,2,3.75,6.75,5.25
42,1,6,6,6
42,2,4.75,6.25,5.5
75,1,4.5,4.75,4.625
75,2,5.5,5.75,5.625
79,1,6.75,8.25,7.5
79,2,4.75,5.75,5.25
73,1,5,5,5
73,2,5.25,6,5.625
64,1,6.75,8,7.375
64,2,6,5.5,5.75
8,1,8.25,8,8.125
8,2,7,6.5,6.75
11,1,7,6.25,6.625
11,2,5,4.75,4.875
58,1,5.5,7,6.25
58,2,5.75,6.75,6.25
24,1,7.75,7.25,7.5
24,2,5.75,4.75,5.25
86,1,6.75,7.5,7.125
86,2,6.5,6.75,6.625
27,1,6.75,6.75,6.75
27,2,3.5,4.75,4.125
15,1,6.5,5.25,5.875
15,2,4.5,4,4.25
4,1,4.75,5.5,5.125
4,2,5.25,4.5,4.875
1,1,7.75,7.5,7.625
1,2,4.25,4.75,4.5
48,1,5.25,5.25,5.25
48,2,4.75,5,4.875
81,1,5.5,5.5,5.5
81,2,5.25,5.5,5.375
38,1,5,5.25,5.125
38,2,4.5,4.5,4.5
82,1,7.75,6.5,7.125
82,2,6.75,7.5,7.125
69,1,6,5.5,5.75
69,2,5.75,4.5,5.125
62,1,7.25,6.75,7
62,2,4.25,5.25,4.75
53,1,5,5,5
53,2,3.75,3.75,3.75
35,1,7,6.5,6.75
35,2,7.25,5.75,6.5
74,1,5,5.75,5.375
74,2,5.5,6.25,5.875
44,1,5.5,7.25,6.375
44,2,3.5,4.5,4
60,1,5,7,6
60,2,4.5,6,5.25
6,1,5.5,6.25,5.875
6,2,3.5,5.25,4.375
49,1,9,9,9
49,2,5,5,5
33,1,6.5,7.25,6.875
33,2,5.5,6.25,5.875
51,1,5.75,5.75,5.75
51,2,4.5,4.5,4.5
46,1,6,5.75,5.875
46,2,4.25,4.25,4.25
25,1,6.25,6.25,6.25
25,2,4.25,5.5,4.875
52,1,5.5,6.25,5.875
52,2,5.5,5,5.25
78,1,5.75,5.75,5.75
78,2,4.5,5.75,5.125
66,1,5.25,6.75,6
66,2,4,5,4.5
45,1,4.25,5.5,4.875
45,2,3.5,3.75,3.625
19,1,6.75,6.25,6.5
19,2,4.25,5,4.625
83,1,5.75,5.75,5.75
83,2,4.75,5.5,5.125
70,1,6,6.25,6.125
70,2,4,4.75,4.375
