ParticipantID,F0_MANIPULATION,Attractive_LTR_F0,Attractive_STR_F0,Attractiveness_REL_F0
87,1,4.25,4.75,4.5
87,2,4.75,5,4.875
7,1,5.5,5.25,5.375
7,2,4,4.25,4.125
37,1,5.75,7.25,6.5
37,2,3.5,5.75,4.625
56,1,5.5,4.5,5
56,2,5.75,6,5.875
26,1,8.25,7,7.625
26,2,4.75,4,4.375
76,1,6,5.75,5.875
76,2,4.25,3.5,3.875
16,1,7,7.75,7.375
16,2,5.25,6.75,6
21,1,4.75,5,4.875
21,2,4.75,5,4.875
14,1,4.5,5.75,5.125
14,2,5.25,5.75,5.5
39,1,4.75,4.75,4.75
39,2,5.25,5.5,5.375
3,1,6.25,6.25,6.25
3,2,3.5,1.75,2.625
22,1,4.25,3.75,4
22,2,3.25,3,3.125
5,1,5.75,6,5.875
5,2,5,5.25,5.125
2,1,5.75,7.5,6.625
2,2,4,4.5,4.25
65,1,7.75,5.25,6.5
65,2,1,1,1
80,1,4,5.5,4.75
80,2,3.25,4.5,3.875
29,1,6.75,7,6.875
29,2,3.5,4.25,3.875
18,1,6.5,5.25,5.875
18,2,4.25,4,4.125
71,1,4.5,6,5.25
71,2,4.75,5,4.875
47,1,5.5,7,6.25
47,2,3.5,5.25,4.375
61,1,3.5,5.75,4.625
61,2,3.75,4,3.875
32,1,5.75,4.5,5.125
32,2,4.5,4,4.25
23,1,5.5,4.75,5.125
23,2,5.25,5.5,5.375
36,1,5.25,3.75,4.5
36,2,2.5,3.75,3.125
12,1,4.25,4,4.125
12,2,5.5,3.5,4.5
43,1,6.75,7.25,7
43,2,4.25,6.75,5.5
10,1,5,7.25,6.125
10,2,3.75,3.25,3.5
40,1,6,5.75,5.875
40,2,4.5,5.25,4.875
85,1,7.25,7,7.125
85,2,5.75,4,4.875
68,1,5.75,6,5.875
68,2,6.5,6.25,6.375
59,1,5.25,5.25,5.25
59,2,6.5,6.25,6.375
57,1,6.25,8.5,7.375
57,2,2.75,5.75,4.25
67,1,8,9,8.5
67,2,5,7,6
30,1,6.5,6.25,6.375
30,2,5.5,5.75,5.625
20,1,5.75,6.25,6
20,2,4.75,5,4.875
63,1,6,7,6.5
63,2,4.75,4.75,4.75
