ParticipantID,ParticipantSex,F0_MANIPULATION,HEALTH_RATING_F0,DISEASE_RATING_F0,DISFREW_RATING_F0,DISSEV_RATING_F0,OVERALL_HEALTH_F0
9,0,1,7,9,5,8.25,7.3125
9,0,2,7,9,5,8.5,7.375
40,1,1,7.5,9,5.75,7,7.3125
40,1,2,7.75,9,6.5,3.75,6.75
48,0,1,6.5,7,6,7.5,6.75
48,0,2,5.75,8.5,7,4,6.3125
67,1,1,8,2.75,6,2,4.6875
67,1,2,6,8,2,3,4.75
47,1,1,4.75,7.75,6,5.5,6
47,1,2,5,8,4.5,4.75,5.5625
82,0,1,8,7,3.25,6.75,6.25
82,0,2,7.75,8,3.5,7.5,6.6875
59,1,1,6.5,7.25,6.5,6,6.5625
59,1,2,7.75,7.5,6.25,6.25,6.9375
68,1,1,8,8,6.5,5.25,6.9375
68,1,2,8.25,7,7.5,7.25,7.5
64,0,1,5.75,8,1.75,7.75,5.8125
64,0,2,3,7,4.75,5.5,5.0625
66,0,1,6,3.5,3.75,4.5,4.4375
66,0,2,6,7,6.75,4,5.9375
12,1,1,5.25,5.25,4,6,5.125
12,1,2,5,7,5.75,6.25,6
4,0,1,4,6,6,5.75,5.4375
4,0,2,2.75,6.5,4,5,4.5625
5,1,1,5.75,5.5,6.75,5.25,5.8125
5,1,2,8,6.5,7.25,6,6.9375
79,0,1,9,7.5,5,6.25,6.9375
79,0,2,8,6,3.5,5.5,5.75
72,0,1,7.5,5.75,5.5,5.5,6.0625
72,0,2,5.5,6,6.5,2.5,5.125
41,1,1,6.5,7.5,9,5,7
41,1,2,4.75,6,9,5,6.1875
53,0,1,5,6.5,5.75,6,5.8125
53,0,2,5.25,6,5.25,4.5,5.25
24,0,1,4,4.5,4.5,2.5,3.875
24,0,2,4,6,3.25,4.5,4.4375
61,1,1,5.5,6.25,3,3.75,4.625
61,1,2,5,6,6.75,4.25,5.5
22,1,1,7.25,6.75,7.5,7,7.125
22,1,2,4.75,6,5.75,5.75,5.5625
83,0,1,7.25,7,6.75,6.25,6.8125
83,0,2,7,6,7,5.75,6.4375
55,1,1,4,4.5,3.75,3.75,4
55,1,2,6,5.5,3,5,4.875
38,0,1,6,6,5.25,5,5.5625
38,0,2,5.75,5.5,4.5,6,5.4375
23,1,1,7,4.5,5.75,4.75,5.5
23,1,2,4.5,5.5,4.5,5.5,5
33,0,1,6,6.5,7.75,6.25,6.625
33,0,2,5.25,5.5,5,4.25,5
7,1,1,4.75,5.75,5.75,6.75,5.75
7,1,2,5.75,5.5,5.75,5,5.5
70,0,1,5.25,5,6.25,6,5.625
70,0,2,4.25,5.5,5,4.25,4.75
46,0,1,7,7,6.25,5.75,6.5
46,0,2,5,5.5,5.25,4.75,5.125
81,0,1,4,4,4.5,5.25,4.4375
81,0,2,5.5,5.5,4.75,4.75,5.125
87,1,1,5.25,4.5,5,5.25,5
87,1,2,4.5,5.5,4.75,4.75,4.875
84,1,1,4.5,5,6.25,6.5,5.5625
84,1,2,5.75,5,4,4,4.6875
25,0,1,4.75,5.75,6.25,5.25,5.5
25,0,2,5.25,5,5.75,5.5,5.375
14,1,1,4.5,4,4.25,5.25,4.5
14,1,2,6.5,5,5.75,6.25,5.875
3,1,1,5.75,5.25,5.75,3.5,5.0625
3,1,2,4.5,5,5.5,3.25,4.5625
71,1,1,7.25,5.5,8,5.75,6.625
71,1,2,5.5,5,5,5,5.125
37,1,1,6,6.25,5.5,6,5.9375
37,1,2,5.5,5,4.75,5.5,5.1875
30,1,1,6.25,5,4,6.75,5.5
30,1,2,6.25,5,6.25,4.75,5.5625
34,1,1,8,5.25,5.25,6.75,6.3125
34,1,2,5.25,5,4.75,2.75,4.4375
11,0,1,7,5,7.25,7,6.5625
11,0,2,6.75,5,6.5,5,5.8125
6,0,1,5.75,5.75,6.5,6,6
6,0,2,4.25,5,5.25,4.75,4.8125
51,0,1,6,5.5,3.75,5.25,5.125
51,0,2,4.5,5,4.5,5.5,4.875
36,1,1,4.5,5,5,5,4.875
36,1,2,6,5,5,5,5.25
45,0,1,5.25,5.5,4.75,4.5,5
45,0,2,4.75,5,5.5,5,5.0625
27,0,1,6,4.5,5.25,5.5,5.3125
27,0,2,5,4.5,5.5,5.75,5.1875
50,1,1,3.25,3.25,4.25,6,4.1875
50,1,2,2.5,4.5,3.75,4.5,3.8125
62,0,1,4.75,6,6.5,4.5,5.4375
62,0,2,6.25,4.5,5.5,5.25,5.375
17,1,1,6.25,5.25,4.5,5.5,5.375
17,1,2,6.25,4.5,5.5,5.75,5.5
75,0,1,6.25,5.75,4,5,5.25
75,0,2,7,4.5,6.25,6.25,6
78,0,1,5.5,5,5,5.5,5.25
78,0,2,4.75,4.5,5.25,4.25,4.6875
85,1,1,7,6.5,6.5,6.5,6.625
85,1,2,6.5,4.5,4.5,6,5.375
76,1,1,7.25,5.25,5.25,6,5.9375
76,1,2,6.25,4.5,6,5,5.4375
58,0,1,5,5,3.25,3.75,4.25
58,0,2,3.25,4.5,4,3.75,3.875
2,1,1,5.25,5,5.5,5,5.1875
2,1,2,3.75,4.5,4,3.5,3.9375
16,1,1,7.5,7.25,6.25,6.75,6.9375
16,1,2,6,4.5,5,5.25,5.1875
20,1,1,5.25,6.5,4.25,7.5,5.875
20,1,2,3.75,4.5,5.5,5.5,4.8125
74,0,1,5.75,4.25,4.25,5.25,4.875
74,0,2,5.5,4.5,4.5,5.25,4.9375
31,1,1,5.75,4.25,5.5,6.25,5.4375
31,1,2,5,4.5,4.5,4.25,4.5625
28,0,1,4.25,5.25,6,4.5,5
28,0,2,5,4,6.75,6.25,5.5
77,1,1,4.25,5,5.75,6.25,5.3125
77,1,2,5.5,4,4.25,6,4.9375
44,0,1,5.75,4.75,5.75,2.75,4.75
44,0,2,6,4,4.75,5.75,5.125
42,0,1,7.25,5,6,3.5,5.4375
42,0,2,6,4,5.5,3.75,4.8125
32,1,1,5.75,5,6.5,4.5,5.4375
32,1,2,5,4,4.5,4.25,4.4375
63,1,1,4.5,2.75,3,5.25,3.875
63,1,2,5.25,4,2.75,5.5,4.375
39,1,1,5.5,4.5,5.5,5.5,5.25
39,1,2,4.5,4,5,5.5,4.75
49,0,1,7.75,4.25,9,9,7.5
49,0,2,5,3.5,9,3,5.125
69,0,1,5.25,3.25,3.75,5.25,4.375
69,0,2,6.5,3.5,4.5,5,4.875
29,1,1,4.75,5.75,6.75,3,5.0625
29,1,2,4.75,3.5,4.75,4.25,4.3125
86,0,1,6.25,2.75,3,8.25,5.0625
86,0,2,5.5,3.5,2.75,7.5,4.8125
18,1,1,6.75,6,6.25,6.5,6.375
18,1,2,4.5,3.5,5.25,4.75,4.5
56,1,1,5.25,4.5,3.75,6.25,4.9375
56,1,2,5.75,3.5,4,5.75,4.75
26,1,1,7.75,8.75,8.75,8.5,8.4375
26,1,2,6.75,3,5.75,5.5,5.25
8,0,1,8,2,3.5,2.5,4
8,0,2,8.25,3,3.5,3.5,4.5625
65,1,1,7,8,9,5.25,7.3125
65,1,2,3.75,3,3.75,4.5,3.75
52,0,1,5.5,6.75,7.25,7,6.625
52,0,2,7,3,6.5,6,5.625
35,0,1,7,3.25,3,3.5,4.1875
35,0,2,7.25,3,3.25,2.25,3.9375
15,0,1,2.75,4.75,4.25,4.25,4
15,0,2,4,3,5,4.5,4.125
1,0,1,4.25,5,6.5,7.5,5.8125
1,0,2,2.75,3,4,4.75,3.625
21,1,1,5.25,5,6,5.25,5.375
21,1,2,4.25,3,5,3.5,3.9375
73,0,1,4.25,5.75,5,6,5.25
73,0,2,5.5,3,6.5,7.25,5.5625
10,1,1,5.5,6,6,4,5.375
10,1,2,4.75,3,6.5,4.25,4.625
19,0,1,5.25,5.75,6.25,5,5.5625
19,0,2,5.75,2.5,4.25,5.25,4.4375
54,0,1,3.25,5,7,6.75,5.5
54,0,2,4,2,2.25,3.5,2.9375
57,1,1,6,6.75,6.75,6.25,6.4375
57,1,2,3.25,2,5.25,7.5,4.5
43,1,1,8.5,6.25,6,7,6.9375
43,1,2,7.25,2,4.75,4.5,4.625
80,1,1,5.75,8.75,7.75,5.75,7
80,1,2,3,2,4.75,4,3.4375
13,0,1,9,3.5,2.25,8,5.6875
13,0,2,7.75,2,1.75,6.75,4.5625
60,0,1,5.5,5.5,7,6.5,6.125
60,0,2,6.5,2,4.5,4.5,4.375
