ParticipantID,VTL_MANIPULATION,Attractive_LTR_VTL,Attractive_STR_VTL,Attractiveness_REL_VTL
87,1,3.5,3.5,3.5
87,2,4.5,4.25,4.375
7,1,3.5,1.75,2.625
7,2,3.25,3,3.125
37,1,3.75,4.75,4.25
37,2,2.25,2.25,2.25
56,1,5.75,6,5.875
56,2,6.25,5.75,6
26,1,5.5,5,5.25
26,2,3.5,3.75,3.625
76,1,4.75,4.75,4.75
76,2,2.5,2.5,2.5
16,1,7,7.5,7.25
16,2,4,6,5
21,1,4.25,5,4.625
21,2,4,5,4.5
14,1,1.25,1.25,1.25
14,2,1,1.25,1.125
39,1,5.5,5,5.25
39,2,6,4.5,5.25
3,1,5,5.5,5.25
3,2,3.75,3,3.375
22,1,2,1.25,1.625
22,2,2,2.75,2.375
5,1,5.75,5.75,5.75
5,2,5.25,6,5.625
2,1,4.75,4.5,4.625
2,2,2.75,4,3.375
65,1,4.75,6.25,5.5
65,2,3.25,2,2.625
80,1,2.5,6.25,4.375
80,2,1,1.5,1.25
29,1,2.25,3,2.625
29,2,3.75,3,3.375
18,1,3.5,2.75,3.125
18,2,4.25,5.5,4.875
71,1,4,5.5,4.75
71,2,4,4,4
47,1,2.5,5.5,4
47,2,4.25,2.5,3.375
61,1,5.75,6.5,6.125
61,2,2.25,2.25,2.25
32,1,6.5,6,6.25
32,2,3.75,2.25,3
23,1,3.5,4,3.75
23,2,2.75,6.25,4.5
36,1,2.75,2.5,2.625
36,2,4.75,3,3.875
12,1,4,4.5,4.25
12,2,3.5,2.25,2.875
43,1,5.5,6.25,5.875
43,2,4,4.5,4.25
10,1,3,4.25,3.625
10,2,3.75,4,3.875
40,1,3.75,6.5,5.125
40,2,3.5,2.25,2.875
85,1,8.25,8.5,8.375
85,2,3.75,3.5,3.625
68,1,7.25,6.5,6.875
68,2,5,2.75,3.875
59,1,4,5,4.5
59,2,4,5.25,4.625
57,1,8.25,6.5,7.375
57,2,1.25,2,1.625
67,1,7,5,6
67,2,1,1,1
30,1,3.5,4.75,4.125
30,2,4.25,4.5,4.375
20,1,2.25,3,2.625
20,2,4.75,5,4.875
63,1,7.75,6.75,7.25
63,2,6.75,6,6.375
